                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13303          2          4          0          0          0          0
       TIMER:      74055      64641      64391      63605      69738      69502      48745      45716
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55922       3085          2          4          0          0      10296      19676
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57596      49459      45735      45131      45837      46334      38271      32708
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49003      47559      50597      49850      53996      54139      40316      39470
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13303          2          4          0          0          0          0
       TIMER:      74110      64705      64454      63664      69795      69574      48789      45775
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55926       3085          2          4          0          0      10296      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57627      49513      45793      45171      45876      46379      38302      32728
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49052      47614      50653      49908      54045      54197      40357      39524
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13303          2          4          0          0          0          0
       TIMER:      74210      64797      64546      63738      69887      69668      48869      45858
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55931       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57683      49564      45844      45229      45925      46438      38349      32778
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49129      47696      50739      49973      54119      54271      40430      39604
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13370          2          4          0          0          0          0
       TIMER:      74274      64856      64615      63799      69936      69722      48925      45910
